Age;Gender;Where are you from? (country);What button do you press?;What button do you press?;What button do you press?;If you want to provide us with more insight, you can write below some reasons on why you choose the buttons you did and why you disregarded the rest.;Considering the pop-ups below, which website are you most likely to accept the cookies from?;Considering the pop-ups below, which website are you most likely to reject the cookies from or get out of?;How aware are you of what web-cookies are used for?;Which choice of browser do you use?;What factors do you take into account before accepting or rejecting web cookies?;How often do you press on a random button just to get rid of the pop up banner?;Are you more likely to trust a website which has extensive cookie usage explanation?;What factors would persuade you to give consent for all cookies?;"How do you feel about the following statement: ""Cookie Consent Banners and the design of the website do not influence my acceptance or rejection of cookies""?";Which of the following best describes how you would make your decision in cookie acceptance? ;Are you more likely to trust a visually appealing website?
19 - 25;Female;Romania;Accept;Necesarry cookies only;Ignore banner;;Option 1;Option 3;5;Google Chrome;How the website looks, Cookie banner placement (middle, bottom, corner or top of page), Cookie banner having no reject options;3;No;Automatic sign-in, Improved user experience, Clear explanation on how my data will be used, Keeping settings and preferences, Participation to analytical statistics;1;based on how professional the website looks;Yes
19 - 25;Male;Italy;Accept;Necesarry cookies only;Accept all Cookies;Just click the top right with a different color;Option 4;Option 3;5;Google Chrome;How the website looks, Cookie banner placement (middle, bottom, corner or top of page), Cookie banner having no reject options, If avoidable, I ignore it;4;No;Automatic sign-in, Improved user experience, Keeping settings and preferences;1;I picked safest option which I thought would get rid of the pop up banner;Yes
16 - 18;Male;Romania;Accept;Accept all cookies;Ignore banner;;Option 2;Option 4;3;Google Chrome;How the website looks, Cookie banner placement (middle, bottom, corner or top of page), Cookie banner having no reject options;2;Yes;Automatic sign-in, Improved user experience;4;I picked safest option which I thought would get rid of the pop up banner;Yes
19 - 25;Male;Syria ;Decline;Necesarry cookies only;Ignore banner;;Option 4;Option 3;5;Apple Safari;Keeping my settings and preferences for next website visit;3;Yes;Improved user experience, Clear explanation on how my data will be used, Keeping settings and preferences;3;I picked an option based on my actual cookie preference;Yes
19 - 25;Male;Germany;Decline;Necesarry cookies only;Ignore banner;I want to share least amount of information possible;Option 2;Option 3;4;OperaGX ;If avoidable, I ignore it;4;Yes;Automatic sign-in, Improved user experience, Clear explanation on how my data will be used, Keeping settings and preferences, Participation to analytical statistics;4;I picked safest option which I thought would get rid of the pop up banner;Yes
19 - 25;Male;Germany;Decline;Necesarry cookies only;Accept all Cookies;;Option 4;Option 3;3;Apple Safari;Cookie banner placement (middle, bottom, corner or top of page);3;No;Participation to analytical statistics;3;I picked an option based on my actual cookie preference;No
16 - 18;Female;Ukraine ;Get out of website;Customize settings;Accept all Cookies;;Option 4;Option 3;4;Basically chrome, but specifically Vivaldi ;How the website looks, Cookie banner having no reject options, Tracked online activity;2;Yes;Clear explanation on how my data will be used;2;I picked an option based on my actual cookie preference;Yes
19 - 25;Prefer not to say;Romania;Decline;Necesarry cookies only;Ignore banner;;Option 3;Option 4;3;Mozilla FireFox;Cookie banner having no reject options, Tracked online activity, If avoidable, I ignore it;3;Yes;Automatic sign-in, Clear explanation on how my data will be used, Keeping settings and preferences;1;I picked an option based on my actual cookie preference;No
19 - 25;Female;Cuba;Accept;Accept all cookies;Cookies Settings;I accept all cookies due to the fact that I don't know much about technologies and I don't really have a knowledge about what it really is and what it can affect.;Option 2;Option 1;1;Google Chrome;How the website looks;4;Yes;Automatic sign-in, Clear explanation on how my data will be used;3;I picked randomly;Yes
19 - 25;Female;Romania;Accept;Accept all cookies;Accept all Cookies;;Option 4;Option 3;2;Google Chrome;How the website looks, Cookie banner having no reject options, If avoidable, I ignore it;5;No;Automatic sign-in;2;I picked safest option which I thought would get rid of the pop up banner;Yes
